OACI,CIAD,Nome,Município,Longitude,Latitude,Operação,Altitude,Rampa de Aproximação,Formato da Área de Pouso,Dimensões,Resistência,Superfície,Validade do Registro,Portaria de Registro,Link
SDGG,SP0335,Aché Faria Lima,SÃO PAULO,"046°41'39,0""O","23°33'39,0""S",VFR Diurna/Noturna,,24,Quadrado,21m x 21m,,Concreto,11/03/2021,PA2011-0453,https://pergamum.anac.gov.br/arquivos/PA2011-0453.pdf
SDGS,SP0339,Bertolucci,SÃO PAULO,"046°40'49,0""O","23°35'08,0""S",VFR Diurna/Noturna,,9 36,Quadrado,18m x 18m,,Concreto,,,
SDGW,SP0340,JKFC,SÃO PAULO,"046°40'29,0""O","23°35'12,0""S",VFR Diurna/Noturna,,5 28,Quadrado,21m x 21m,,Concreto,06/03/2023,PA2013-0571,https://pergamum.anac.gov.br/arquivos/PA2013-0571.pdf
SDHI,SP0345,Hospital Gastroclínica,SÃO PAULO,"046°39'06,0""O","23°35'42,0""S",VFR Diurna/Noturna,,3 18,Quadrado,21m x 21m,,Metálico,22/02/2021,PA2011-0333,https://pergamum.anac.gov.br/arquivos/PA2011-0333.pdf
SDHQ,SP0347,Shopping Leste Aricanduva,SÃO PAULO,"046°30'17,0""O","23°34'03,0""S",VFR Diurna,,7 34,Quadrado,18m x 18m,,Asfalto,07/10/2023,PA2013-2598,https://pergamum.anac.gov.br/arquivos/PA2013-2598.pdf
SDHT,SP0348,Cetenco Plaza - Torre Norte,SÃO PAULO,"046°39'27,3""O","23°33'31,9""S",VFR Diurna,,2,Quadrado,18m x 18m,,Concreto,26/04/2022,PA2013-1293,https://pergamum.anac.gov.br/arquivos/PA2013-1293.pdf
SDHV,SP0349,Hospital Albert Einstein,SÃO PAULO,"046°42'55,0""O","23°36'01,0""S",VFR Diurna/Noturna,,6,Quadrado,19.5m x 19.5m,,Concreto,18/07/2023,PA2013-1854,https://pergamum.anac.gov.br/arquivos/PA2013-1854.pdf
SDHW,SP0350,Hospital Bandeirantes,SÃO PAULO,"046°38'05,2""O","23°33'27,4""S",VFR Diurna/Noturna,,22,Quadrado,18m x 18m,,Metálico,,,https://pergamum.anac.gov.br/arquivos/PA2013-0802.pdf
SDAP,SP0290,Hospital Paulistano,SÃO PAULO,"046°38'32,2""O","23°33'54,9""S",VFR Diurna/Noturna,,31,Quadrado,21.7m x 21.7m,,Concreto,03/05/2022,PA2013-1290,https://pergamum.anac.gov.br/arquivos/PA2013-1290.pdf
SDAT,SP0291,Hospital e Maternidade Vitória,SÃO PAULO,"046°33'42,0""O","23°33'47,0""S",VFR Diurna/Noturna,793,9,Quadrado,21.0m x 21.0 m,5,Concreto,,PA2011-0666,https://pergamum.anac.gov.br/arquivos/PA2011-0666.pdf
